Novák;1;1;3;2;5;4;1;2;2;1
Svoboda;2;5;1;1;3;2;4;5;1;2
Novotný;3;2;2;4;1;5;3;2;4;1
Dvořák;5;1;4;2;2;3;1;4;5;2
Černý;1;3;5;1;4;2;2;1;3;5
Procházka;4;2;1;5;3;1;5;2;1;4
Kučera;2;4;3;2;5;4;1;3;2;1
Veselý;1;5;2;3;1;2;4;1;5;3
Horák;3;1;1;4;2;5;2;3;1;4
Němec;5;3;2;1;4;1;3;5;2;2
Pokorný;2;2;5;3;1;4;2;1;4;5
Marek;1;4;1;2;5;3;5;2;1;3
Pospíšil;3;5;4;1;2;2;1;4;3;1
Hájek;4;1;2;5;3;5;2;2;1;4
Jelínek;2;3;1;4;1;2;5;3;4;2
Král;5;2;3;1;5;4;1;2;2;3
Růžička;1;1;4;3;2;5;3;1;5;2
Beneš;3;4;2;2;1;1;4;5;2;3
Fiala;2;5;1;3;4;2;2;1;3;1
Sedláček;4;2;5;1;2;3;1;4;2;5
Doležal;1;3;2;5;1;4;5;2;1;4
Zeman;5;1;1;2;3;2;4;1;5;3
Kolář;2;2;3;4;5;1;2;3;1;5
Navrátil;3;5;2;1;4;5;1;2;3;2
Vaněk;1;4;5;2;1;3;2;5;4;1
Šimek;4;1;2;3;2;4;1;1;5;3
Urban;2;3;1;5;4;2;3;4;2;1
Blažek;5;2;4;1;3;1;5;2;1;4
Kříž;1;5;2;2;5;3;1;4;3;2
Kopecký;3;1;5;4;2;2;4;1;5;1
Kadlec;2;4;1;3;1;5;2;2;4;3
Štěpánek;4;2;3;1;5;4;1;3;2;5
Nedvěd;1;3;2;5;2;1;4;5;1;4
Dušek;5;1;4;2;3;2;1;4;2;3
Mach;2;2;1;4;5;3;2;1;5;4
Malý;3;5;2;1;1;4;5;2;3;2
Holub;1;4;3;5;2;2;1;3;4;5
Krejčí;4;1;5;2;3;1;4;2;1;3
Švec;2;3;1;1;4;5;2;4;3;2
Vlček;5;2;4;3;2;1;3;5;2;1
Čermák;1;5;2;4;1;3;5;1;4;2
Konečný;3;1;1;5;2;4;2;3;1;5
Moravec;2;4;5;1;3;2;1;4;2;3
Tichý;4;2;3;2;5;1;4;1;3;2
Sýkora;1;3;2;5;4;3;1;2;5;1
Bartoš;5;1;4;2;1;5;2;3;2;4
Pavlík;2;2;1;3;4;2;5;1;4;3
Staněk;3;5;2;1;2;4;1;5;3;2
Vávra;1;4;5;2;3;1;2;4;1;5
Hruška;4;1;2;5;1;3;4;2;5;2
Richter;2;3;1;4;5;2;1;3;2;4
Šindelář;5;2;4;1;3;1;5;2;4;1
Polák;1;5;2;2;4;3;1;5;2;3
Lukáš;3;1;5;4;2;2;3;1;5;2
Janda;2;4;1;3;1;5;2;4;1;3
Bureš;4;2;3;1;5;4;1;2;3;5
Kovář;1;3;2;5;2;1;4;3;1;5
Soukup;5;1;4;2;3;2;1;4;2;1
Chalupa;2;2;1;4;5;3;2;1;5;3
Havlíček;3;5;2;1;1;4;5;2;3;1
Beran;1;4;3;5;2;2;1;3;4;2
Čížek;4;1;5;2;3;1;4;2;1;5
Zahradník;2;3;1;1;4;5;2;4;3;1
Valenta;5;2;4;3;2;1;3;5;2;4
Petr;1;5;2;4;1;3;5;1;4;1
Vlach;3;1;1;5;2;4;2;3;1;2
Liška;2;4;5;1;3;2;1;4;2;5
Boháč;4;2;3;2;5;1;4;1;3;4
Ševčík;1;3;2;5;4;3;1;2;5;2
Kostka;5;1;4;2;1;5;2;3;2;1
Jezek;2;2;1;3;4;2;5;1;4;5
Blaha;3;5;2;1;2;4;1;5;3;3
Čech;1;4;5;2;3;1;2;4;1;1
Trnka;4;1;2;5;1;3;4;2;5;4
Bělka;2;3;1;4;5;2;1;3;2;2
Jirsa;5;2;4;1;3;1;5;2;4;3
Havel;1;5;2;2;4;3;1;5;2;1
Rada;3;1;5;4;2;2;3;1;5;5
Moučka;2;4;1;3;1;5;2;4;1;2
Kment;4;2;3;1;5;4;1;2;3;4
Hrubý;1;3;2;5;2;1;4;3;1;3
Smutný;5;1;4;2;3;2;1;4;2;5
Vondráček;2;2;1;4;5;3;2;1;5;1
Čapek;3;5;2;1;1;4;5;2;3;4
Březina;1;4;3;5;2;2;1;3;4;1
Koudelka;4;1;5;2;3;1;4;2;1;2
Šťastný;2;3;1;1;4;5;2;4;3;5
Přibyl;5;2;4;3;2;1;3;5;2;2
Brabec;1;5;2;4;1;3;5;1;4;4
Císař;3;1;1;5;2;4;2;3;1;1
Mikulec;2;4;5;1;3;2;1;4;2;4
Krajčík;4;2;3;2;5;1;4;1;3;1
Škarpa;1;3;2;5;4;3;1;2;5;5
Vít;5;1;4;2;1;5;2;3;2;2
Holeček;2;2;1;3;4;2;5;1;4;1
Hlaváček;3;5;2;1;2;4;1;5;3;4
Křížek;1;4;5;2;3;1;2;4;1;3
Matějka;4;1;2;5;1;3;4;2;5;2
Dudek;2;3;1;4;5;2;1;3;2;5
Koutný;5;2;4;1;3;1;5;2;4;2
Pešek;1;5;2;2;4;3;1;5;2;4
Kvasnička;3;1;5;4;2;2;3;1;5;3
Jeřábek;2;4;1;3;1;5;2;4;1;5
Plíšek;4;2;3;1;5;4;1;2;3;2
Štěrba;1;3;2;5;2;1;4;3;1;4
